,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
125318,Maharashtra,AHMEDNAGAR,2001,Kharif     ,Soyabean,7600,21.96773635,2.063998457,1015.290141,21.29047314,chalky,49.329,0,0,9000,1.184210526
125320,Maharashtra,AHMEDNAGAR,2001,Kharif     ,Urad,4500,21.13846625,1.986194445,1015.697473,20.66620503,sandy,0.825,0.825,0.825,900,0.2
125321,Maharashtra,AHMEDNAGAR,2001,Rabi       ,Gram,60000,20.42297592,2.00339084,1014.965156,20.65061086,clay,38.25,38.25,38.25,33100,0.551666667
125331,Maharashtra,AHMEDNAGAR,2001,Rabi       ,Wheat,93800,21.0961017,2.000679559,1013.107946,21.87358165,silty,0,0,0,156300,1.666311301
125335,Maharashtra,AHMEDNAGAR,2001,Whole Year ,Sugarcane,52000,21.75836476,2.008114583,1014.766006,21.71879061,silty,8.54,8.54,0,3596300,69.15961538
125336,Maharashtra,AHMEDNAGAR,2002,Kharif     ,Arhar/Tur,14600,20.84647359,1.986612668,1014.274354,22.06941203,clay,2.535,2.535,2.535,5700,0.390410959
125339,Maharashtra,AHMEDNAGAR,2002,Kharif     ,Cotton(lint),10800,20.25685155,2.03136695,1014.028389,21.57339885,silt,7.36,19.136,19.136,8300,0.768518519
125343,Maharashtra,AHMEDNAGAR,2002,Kharif     ,Moong(Green Gram),21000,20.79307161,1.992602278,1013.957667,21.48943133,chalky,0.152,0.152,0.152,10100,0.480952381
125350,Maharashtra,AHMEDNAGAR,2002,Kharif     ,Soyabean,15100,20.70016667,2.090752634,1014.200112,20.71597186,chalky,71.064,0,0,18800,1.245033113
125352,Maharashtra,AHMEDNAGAR,2002,Kharif     ,Urad,4700,20.7188991,2.020508987,1015.884218,20.18578338,sandy,1.95,1.95,1.95,2200,0.468085106
125353,Maharashtra,AHMEDNAGAR,2002,Rabi       ,Gram,64500,21.00181351,2.067533857,1013.87753,21.03983832,silty,38.25,38.25,38.25,26500,0.410852713
125363,Maharashtra,AHMEDNAGAR,2002,Rabi       ,Wheat,70400,21.79169495,2.07167553,1014.90043,20.27573034,silt,0,0,0,88500,1.257102273
125366,Maharashtra,AHMEDNAGAR,2002,Whole Year ,Sugarcane,49400,20.99240487,2.029427572,1013.603201,21.63780732,chalky,56.07,0,0,3303000,66.86234818
125367,Maharashtra,AHMEDNAGAR,2003,Kharif     ,Arhar/Tur,9000,21.75168512,2.019762844,1013.662467,20.57225023,clay,9,9,0,3000,0.333333333
125369,Maharashtra,AHMEDNAGAR,2003,Kharif     ,Cotton(lint),10400,20.71335008,2.055364111,1015.009543,21.05901866,loamy,38.25,38.25,38.25,10400,1
125373,Maharashtra,AHMEDNAGAR,2003,Kharif     ,Moong(Green Gram),8800,20.28225928,2.0994531,1014.081858,21.60931945,loamy,7.476,7.476,0,2500,0.284090909
125381,Maharashtra,AHMEDNAGAR,2003,Kharif     ,Soyabean,17900,20.31783725,2.054805533,1015.790525,20.19560246,clay,7.704,19.688,0,18500,1.033519553
125383,Maharashtra,AHMEDNAGAR,2003,Kharif     ,Urad,3500,20.83697875,2.084210685,1014.612548,20.87047086,chalky,8.22,8.22,0,1800,0.514285714
125384,Maharashtra,AHMEDNAGAR,2003,Rabi       ,Gram,50900,20.17783967,1.992188131,1013.318241,20.43844462,sandy,0.465,0.465,0.465,20500,0.402750491
125394,Maharashtra,AHMEDNAGAR,2003,Rabi       ,Wheat,39200,20.33754159,2.059664916,1014.624868,21.29286777,loamy,3.45,3.45,0,39500,1.007653061
125401,Maharashtra,AHMEDNAGAR,2003,Whole Year ,Sugarcane,31200,20.18230524,2.069119752,1014.162864,21.01549513,clay,38.25,38.25,38.25,1486800,47.65384615
125403,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Arhar/Tur,12200,20.76814299,2.0020312,1013.280471,20.42792202,peaty,10.5,27.3,27.3,4800,0.393442623
125408,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Moong(Green Gram),13100,21.09510131,2.06726307,1015.878411,21.13885924,clay,3.008,3.76,0,4300,0.328244275
125417,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Urad,5000,21.16084116,2.043897106,1015.244623,21.70059318,chalky,38.25,38.25,38.25,3100,0.62
125418,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Gram,61700,20.87109541,1.976585461,1014.264601,21.93395561,clay,0,20.08,0,40900,0.662884927
125427,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Soyabean,35500,21.18484032,1.995374656,1015.110676,20.65078093,clay,0,0,0,51800,1.45915493
125429,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Wheat,89300,21.22613534,2.015717306,1013.44323,20.20440143,silt,7.992,20.424,0,154600,1.731243001
125433,Maharashtra,AHMEDNAGAR,2004,Whole Year ,Cotton(lint),15900,21.51868203,2.093915842,1015.619564,21.56596785,silty,38.25,38.25,38.25,26700,1.679245283
125434,Maharashtra,AHMEDNAGAR,2004,Whole Year ,Sugarcane,17000,21.56630558,2.090688858,1014.247256,20.31656808,silt,0,15.712,0,1001800,58.92941176
125435,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Arhar/Tur,11100,20.96601856,2.10836736,1015.568463,21.0709744,sandy,3.61,9.386,9.386,3800,0.342342342
125438,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Cotton(lint),16600,20.31004272,2.022520142,1013.479437,21.35985696,clay,2.422,6.055,2.422,22800,1.373493976
125440,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Moong(Green Gram),8700,20.645079,2.007354517,1013.085795,20.06770498,clay,2.288,2.86,0,2400,0.275862069
125445,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Soyabean,37500,20.04054787,2.006616825,1013.351167,20.5598172,silt,6.858,17.526,0,38800,1.034666667
125446,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Sugarcane,56600,21.32324682,2.010811503,1015.140433,21.84224465,silt,27.195,0,0,4395300,77.65547703
125448,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Urad,3700,20.37707529,2.096078059,1015.058825,20.08433982,clay,0.045,0.045,0.045,1300,0.351351351
125449,Maharashtra,AHMEDNAGAR,2005,Rabi       ,Gram,68600,21.33775517,2.02553162,1014.936539,20.36184727,peaty,38.25,38.25,38.25,47100,0.686588921
125455,Maharashtra,AHMEDNAGAR,2005,Rabi       ,Wheat,103100,20.64380869,1.983560626,1015.632859,21.29550826,silty,0,0,0,153800,1.491755577
125458,Maharashtra,AHMEDNAGAR,2006,Kharif     ,Arhar/Tur,13000,21.08898738,2.105435176,1013.752053,20.26104456,silty,5.98,5.98,0,6600,0.507692308
125460,Maharashtra,AHMEDNAGAR,2006,Kharif     ,Cotton(lint),20600,20.57530486,2.05752538,1013.348148,21.8287512,loamy,740.002,0,0,36500,1.77184466
125464,Maharashtra,AHMEDNAGAR,2006,Kharif     ,Moong(Green Gram),16700,21.12420786,2.093508102,1014.096273,20.89689924,chalky,5.7,5.7,5.7,9900,0.592814371
125469,Maharashtra,AHMEDNAGAR,2006,Kharif     ,Soyabean,49000,20.08291586,2.076987649,1013.554874,20.42505885,chalky,1.148,1.148,0,64500,1.316326531
125471,Maharashtra,AHMEDNAGAR,2006,Kharif     ,Urad,6100,21.10708088,2.073071022,1015.231478,20.80618721,sandy,0,0,0,2400,0.393442623
125472,Maharashtra,AHMEDNAGAR,2006,Rabi       ,Gram,95800,21.14751829,2.017978089,1015.022237,20.17787769,loamy,0.224,0.28,0,65700,0.685803758
125480,Maharashtra,AHMEDNAGAR,2006,Rabi       ,Wheat,153900,21.30715835,2.025248827,1013.740263,21.23431923,sandy,38.25,38.25,38.25,248100,1.61208577
125484,Maharashtra,AHMEDNAGAR,2007,Kharif     ,Arhar/Tur,146,21.69707278,2.07039294,1013.955514,21.36345665,chalky,4.284,4.284,0,79,0.54109589
125487,Maharashtra,AHMEDNAGAR,2007,Kharif     ,Cotton(lint),400,20.14240726,1.972478424,1014.056082,20.83337919,silty,1.728,2.16,0,821,2.0525
125491,Maharashtra,AHMEDNAGAR,2007,Kharif     ,Moong(Green Gram),210,20.64809784,2.036099914,1015.682013,20.43727981,silt,834.164,0,0,144,0.685714286
125495,Maharashtra,AHMEDNAGAR,2007,Kharif     ,Soyabean,554,20.07853475,2.101080907,1014.381454,20.52760499,loamy,0.825,0.825,0.825,845,1.525270758
125497,Maharashtra,AHMEDNAGAR,2007,Kharif     ,Urad,93,21.05691518,2.044933643,1015.228585,20.69054186,loamy,0,5.184,0,36,0.387096774
125498,Maharashtra,AHMEDNAGAR,2007,Rabi       ,Gram,873,20.09597013,2.106148691,1015.000797,20.93511132,clay,2.08,5.408,5.408,603,0.690721649
125506,Maharashtra,AHMEDNAGAR,2007,Rabi       ,Wheat,1309,20.50033368,2.05811302,1015.924981,21.91668342,peaty,0,0,0,2711,2.0710466
125510,Maharashtra,AHMEDNAGAR,2007,Whole Year ,Sugarcane,1333,20.16201418,2.006829325,1013.870611,20.47321975,clay,8.54,8.54,0,103974,78
125511,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Arhar/Tur,2700,20.90949351,2.07987361,1013.009623,20.44941468,silty,2.535,2.535,2.535,1200,0.444444444
125514,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Cotton(lint),59300,20.94045548,2.060467011,1013.727209,22.03796761,silty,7.36,19.136,19.136,93300,1.573355818
125518,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Moong(Green Gram),600,20.20061329,2.003728867,1015.926056,22.02874796,loamy,0.152,0.152,0.152,100,0.166666667
125523,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Soyabean,55500,20.3452358,2.101169593,1013.303211,21.77643507,loamy,906.844,0,0,40100,0.722522523
125524,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Sugarcane,77500,21.15191409,2.001454553,1013.393452,21.41386188,clay,6.21,15.87,0,5564800,71.80387097
125526,Maharashtra,AHMEDNAGAR,2008,Kharif     ,Urad,600,21.12404423,2.043768219,1014.319402,20.7973037,clay,8.46,8.46,0,200,0.333333333
125527,Maharashtra,AHMEDNAGAR,2008,Rabi       ,Gram,90500,22.02135834,2.034729963,1014.474585,20.96888644,sandy,1.95,1.95,1.95,65700,0.725966851
125535,Maharashtra,AHMEDNAGAR,2008,Rabi       ,Wheat,138200,20.97508462,2.07453569,1015.065292,20.93969588,clay,3.84,4.8,0,219200,1.586107091
125536,Maharashtra,AHMEDNAGAR,2008,Whole Year ,Sugarcane,77500,21.5560776,2.012633842,1013.819954,21.23507254,silt,2.775,0,0,5564800,71.80387097
125537,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Arhar/Tur,12100,21.07605871,2.070020211,1013.796756,21.85642863,peaty,4.531,4.531,0,6200,0.512396694
125540,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Cotton(lint),82700,21.16285397,2.070429591,1013.676001,20.86862026,silt,9.63,24.61,0,125100,1.512696493
125543,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Moong(Green Gram),12800,20.06578689,1.979185901,1015.913497,20.64496786,silty,0,0,0,7800,0.609375
125548,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Soyabean,58000,20.17981347,1.984185969,1014.348188,20.88777811,clay,7.476,7.476,0,53200,0.917241379
125549,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Sugarcane,75600,20.29288097,2.0918033,1014.606589,21.61646942,loamy,2.1,5.25,2.1,6339000,83.84920635
125551,Maharashtra,AHMEDNAGAR,2009,Kharif     ,Urad,10700,21.09973245,2.034829684,1013.586551,20.13878948,silt,3.392,4.24,0,5000,0.46728972
125552,Maharashtra,AHMEDNAGAR,2009,Rabi       ,Gram,102300,20.50526854,2.0035097,1014.988333,21.86938119,sandy,2.8,0,0,75700,0.73998045
125560,Maharashtra,AHMEDNAGAR,2009,Rabi       ,Wheat,129500,21.36392362,2.098184067,1014.991965,22.00710326,silty,38.25,38.25,38.25,216000,1.667953668
125561,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Arhar/Tur,17600,20.12606932,2.038077547,1014.779493,20.7333385,peaty,0,26.832,0,11300,0.642045455
125563,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Cotton(lint),101700,20.63379869,2.084100084,1014.791745,21.18545287,clay,41.496,110.656,55.328,221100,2.174041298
125566,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Moong(Green Gram),15900,22.00469161,2.067135849,1015.708557,20.69811456,peaty,0,0,0,12400,0.779874214
125571,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Soyabean,50700,21.91493168,2.056018011,1015.814856,21.10532216,clay,902.566,0,0,90800,1.790927022
125572,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Sugarcane,126000,22.06035433,2.004742347,1013.146387,20.78102992,chalky,6.516,16.652,0,11516400,91.4
125574,Maharashtra,AHMEDNAGAR,2010,Kharif     ,Urad,12100,20.71252607,2.030395668,1014.556393,21.05631639,chalky,7.68,7.68,0,7700,0.636363636
125575,Maharashtra,AHMEDNAGAR,2010,Rabi       ,Gram,115200,20.83800382,2.009474246,1015.955745,21.63109421,clay,3.255,3.255,3.255,94000,0.815972222
125582,Maharashtra,AHMEDNAGAR,2010,Rabi       ,Wheat,133700,20.92420129,1.974787363,1015.519273,21.85673102,loamy,0,0,0,248900,1.861630516
125583,Maharashtra,AHMEDNAGAR,2011,Kharif     ,Arhar/Tur,12800,21.23702704,2.083932577,1014.104874,21.76466318,silty,3.008,3.76,0,6400,0.5
125586,Maharashtra,AHMEDNAGAR,2011,Kharif     ,Cotton(lint),112000,20.94247941,2.063578547,1014.117679,22.06501036,silty,0,0,0,238100,2.125892857
125589,Maharashtra,AHMEDNAGAR,2011,Kharif     ,Moong(Green Gram),6400,21.97373782,2.075661558,1013.386219,21.33638839,clay,52.08,0,0,1700,0.265625
125595,Maharashtra,AHMEDNAGAR,2011,Kharif     ,Soyabean,58600,20.10824832,2.075991671,1013.8656,20.32163883,silty,38.688,103.168,51.584,122700,2.093856655
125597,Maharashtra,AHMEDNAGAR,2011,Kharif     ,Urad,8100,21.42566418,2.056531421,1013.136684,20.93166641,peaty,1.596,3.99,1.596,7500,0.925925926
125598,Maharashtra,AHMEDNAGAR,2011,Rabi       ,Gram,45300,21.57504556,1.974195467,1013.06124,20.80353505,silty,0,0,0,27700,0.611479029
125606,Maharashtra,AHMEDNAGAR,2011,Rabi       ,Wheat,48100,21.47995917,2.097621072,1013.734927,21.8700802,silt,7.66,7.66,0,88700,1.844074844
125609,Maharashtra,AHMEDNAGAR,2011,Whole Year ,Sugarcane,129500,22.00308564,1.989832299,1015.602989,21.54889987,clay,0,15.712,0,11879200,91.73127413
125610,Maharashtra,AHMEDNAGAR,2012,Kharif     ,Arhar/Tur,9500,21.44332115,2.06468295,1013.117937,21.9293242,silt,3.61,9.386,9.386,2200,0.231578947
125613,Maharashtra,AHMEDNAGAR,2012,Kharif     ,Cotton(lint),96200,22.01861861,2.049026843,1014.645984,20.07698433,loamy,2.422,6.055,2.422,88100,0.915800416
125616,Maharashtra,AHMEDNAGAR,2012,Kharif     ,Moong(Green Gram),5700,20.70385881,2.027494417,1015.190459,22.0066713,peaty,2.1,0,0,600,0.105263158
125622,Maharashtra,AHMEDNAGAR,2012,Kharif     ,Soyabean,56800,20.18921321,2.101520368,1013.427187,21.56135511,silt,7.46,7.46,0,28100,0.49471831
125624,Maharashtra,AHMEDNAGAR,2012,Kharif     ,Urad,6100,20.20849415,1.992828827,1015.292396,20.63194591,silt,38.25,38.25,38.25,1100,0.180327869
125625,Maharashtra,AHMEDNAGAR,2012,Rabi       ,Gram,59400,20.07987191,2.001080523,1013.821413,20.21012492,silt,0,10.368,0,21700,0.365319865
125632,Maharashtra,AHMEDNAGAR,2012,Rabi       ,Wheat,38900,20.34271019,2.015388689,1013.566904,20.20985662,chalky,1.325,0,0,46100,1.185089974
125635,Maharashtra,AHMEDNAGAR,2012,Whole Year ,Sugarcane,115500,20.54137929,2.056639733,1013.476674,21.86098363,silt,740.002,0,0,8235700,71.3047619
125636,Maharashtra,AHMEDNAGAR,2013,Kharif     ,Arhar/Tur,11000,21.86146071,1.981717756,1013.683822,20.88618638,loamy,32.508,83.076,0,9200,0.836363636
125638,Maharashtra,AHMEDNAGAR,2013,Kharif     ,Cotton(lint),104700,20.41346736,2.022088148,1014.267275,20.97088521,clay,16.82,16.82,0,222400,2.124164279
125641,Maharashtra,AHMEDNAGAR,2013,Kharif     ,Moong(Green Gram),5700,20.08873522,2.098845004,1013.029811,21.5633724,chalky,0,36,0,4800,0.842105263
125647,Maharashtra,AHMEDNAGAR,2013,Kharif     ,Soyabean,65900,20.52336009,2.097771262,1015.668212,20.20468764,loamy,0.224,0.28,0,74500,1.130500759
125649,Maharashtra,AHMEDNAGAR,2013,Kharif     ,Urad,6100,21.7621008,2.061368606,1014.111098,21.26021121,sandy,0,0,0,3000,0.491803279
125650,Maharashtra,AHMEDNAGAR,2013,Rabi       ,Gram,120700,21.01972166,2.035981525,1015.665345,20.26226328,silty,598.552,0,0,93300,0.772990886
125658,Maharashtra,AHMEDNAGAR,2013,Rabi       ,Wheat,51900,21.05879503,2.087561556,1013.118958,20.79324059,clay,39.204,104.544,52.272,100700,1.94026975
125661,Maharashtra,AHMEDNAGAR,2013,Whole Year ,Sugarcane,110800,21.12603801,1.976327307,1013.345392,21.26179608,peaty,1.501,1.501,1.501,9643600,87.03610108
125662,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Arhar/Tur,9100,21.3508387,2.018686936,1015.12638,20.30529853,chalky,1.728,2.16,0,1800,0.197802198
125665,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Cotton(lint),102600,21.60254878,2.063060214,1014.630776,20.49818931,loamy,0,0,0,96700,0.942495127
125668,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Moong(Green Gram),5600,20.33363869,1.978311072,1015.452336,20.39158637,silty,49.329,0,0,3200,0.571428571
125673,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Soyabean,58200,21.61361951,2.048931529,1014.396537,20.08907028,silt,2.08,5.408,5.408,35900,0.616838488
125675,Maharashtra,AHMEDNAGAR,2014,Rabi       ,Gram,115200,21.13538759,2.025641815,1014.575922,20.58665065,silt,8.876,8.876,0,85200,0.739583333
125682,Maharashtra,AHMEDNAGAR,2014,Rabi       ,Wheat,57200,20.1084365,1.973208416,1014.293642,21.23687256,chalky,843.64,0,0,85000,1.486013986
125685,Maharashtra,AHMEDNAGAR,2014,Whole Year ,Sugarcane,122000,20.17084807,1.976622887,1014.003191,21.22274635,silt,8.54,8.54,0,11761000,96.40163934
125749,Maharashtra,AKOLA,2000,Kharif     ,Arhar/Tur,46400,21.0499819,2.064346886,1015.872837,21.69116122,chalky,7.68,7.68,0,33100,0.713362069
125751,Maharashtra,AKOLA,2000,Kharif     ,Cotton(lint),227800,21.33047574,2.073433423,1013.078952,20.10665796,clay,38.25,38.25,38.25,155500,0.68261633
125755,Maharashtra,AKOLA,2000,Kharif     ,Moong(Green Gram),59400,20.11526171,2.086103824,1014.779571,21.19519094,peaty,8.008,8.008,0,23800,0.400673401
125759,Maharashtra,AKOLA,2000,Kharif     ,Soyabean,28900,21.05559396,2.051833133,1014.111096,20.44896849,chalky,2.775,0,0,31200,1.079584775
125761,Maharashtra,AKOLA,2000,Kharif     ,Urad,15000,21.75006638,2.06722112,1015.368685,21.01336725,peaty,0,0,0,9300,0.62
125762,Maharashtra,AKOLA,2000,Rabi       ,Gram,22000,22.06732473,2.020726875,1015.302037,20.78394476,clay,928.372,0,0,6800,0.309090909
125767,Maharashtra,AKOLA,2000,Rabi       ,Wheat,9700,21.74735786,2.087821974,1014.776222,20.19368537,silt,38.25,38.25,38.25,13800,1.422680412
125770,Maharashtra,AKOLA,2000,Whole Year ,Sugarcane,600,20.43241378,1.978259592,1014.930802,21.48442887,sandy,38.688,103.168,51.584,48800,81.33333333
125771,Maharashtra,AKOLA,2001,Kharif     ,Arhar/Tur,46800,21.52150845,2.052712121,1013.676832,21.36455182,clay,7.588,7.588,0,41600,0.888888889
125773,Maharashtra,AKOLA,2001,Kharif     ,Cotton(lint),231400,21.32963099,2.017443693,1013.352541,21.93708436,loamy,0,0,0,194900,0.842264477
125776,Maharashtra,AKOLA,2001,Kharif     ,Moong(Green Gram),60000,20.09095763,2.061913457,1013.418913,21.01635772,silty,3.91,3.91,0,32700,0.545
125780,Maharashtra,AKOLA,2001,Kharif     ,Soyabean,31300,21.9096223,2.041340896,1014.212766,20.44180014,sandy,40.908,0,0,30600,0.977635783
125782,Maharashtra,AKOLA,2001,Kharif     ,Urad,14500,20.62882499,2.080258274,1015.071366,20.14180309,silt,0.975,0.975,0.975,10800,0.744827586
125783,Maharashtra,AKOLA,2001,Rabi       ,Gram,22300,20.40644382,2.023584675,1013.532471,22.01219991,loamy,38.25,38.25,38.25,12900,0.578475336
125788,Maharashtra,AKOLA,2001,Rabi       ,Wheat,10100,20.08346532,2.096394612,1013.924295,20.88951721,loamy,2.422,6.055,2.422,15500,1.534653465
125791,Maharashtra,AKOLA,2001,Whole Year ,Sugarcane,600,20.11346036,1.988326511,1015.776097,21.45318464,clay,2.1,0,0,44100,73.5
125792,Maharashtra,AKOLA,2002,Kharif     ,Arhar/Tur,46500,20.78100106,2.045243893,1014.45409,20.08203507,silty,1.771,1.771,0,42100,0.905376344
125794,Maharashtra,AKOLA,2002,Kharif     ,Cotton(lint),222900,21.78759169,2.082432464,1014.138102,21.556591,sandy,890.974,0,0,224600,1.007626738
125797,Maharashtra,AKOLA,2002,Kharif     ,Moong(Green Gram),64300,21.33140218,2.04482917,1013.645954,20.61292141,chalky,7.46,7.46,0,26100,0.405909798
125800,Maharashtra,AKOLA,2002,Kharif     ,Soyabean,27200,20.83123084,2.052230807,1015.88305,22.07015184,loamy,0,10.368,0,40900,1.503676471
125802,Maharashtra,AKOLA,2002,Kharif     ,Urad,15200,20.41156339,2.043472291,1013.883677,21.19890456,loamy,36.84,98.24,49.12,7300,0.480263158
125803,Maharashtra,AKOLA,2002,Rabi       ,Gram,24300,20.66698327,1.986646936,1014.572059,21.33620357,loamy,3.276,3.276,0,16100,0.66255144
125808,Maharashtra,AKOLA,2002,Rabi       ,Wheat,10300,21.98033146,2.077195218,1015.014129,21.11829493,clay,5.98,5.98,0,15800,1.533980583
125811,Maharashtra,AKOLA,2002,Whole Year ,Sugarcane,400,20.67441119,1.989718043,1015.940627,21.68461917,clay,32.508,83.076,0,28000,70
125812,Maharashtra,AKOLA,2003,Kharif     ,Arhar/Tur,51000,20.13957344,2.069255413,1014.113214,21.68447253,clay,7.371,0,0,43500,0.852941176
125814,Maharashtra,AKOLA,2003,Kharif     ,Cotton(lint),217700,20.44687507,2.093464789,1015.330063,21.75655835,loamy,5.7,5.7,5.7,199000,0.914101975
125818,Maharashtra,AKOLA,2003,Kharif     ,Moong(Green Gram),64300,20.42940474,2.036581276,1014.760063,21.82074781,chalky,7.656,20.416,10.208,30100,0.468118196
125821,Maharashtra,AKOLA,2003,Kharif     ,Soyabean,30800,20.84872018,2.016889806,1013.249481,21.51852387,loamy,0,0,0,37500,1.217532468
125823,Maharashtra,AKOLA,2003,Kharif     ,Urad,18600,20.83019164,2.069571914,1015.198421,20.4080884,silty,0.5,0,0,10900,0.586021505
125824,Maharashtra,AKOLA,2003,Rabi       ,Gram,26200,20.58604329,1.990141151,1014.331212,20.9942823,silt,0,0,0,16600,0.633587786
125829,Maharashtra,AKOLA,2003,Rabi       ,Wheat,8700,21.75573833,2.086953325,1015.311595,21.54593064,silty,0.615,0.615,0.615,12300,1.413793103
125836,Maharashtra,AKOLA,2003,Whole Year ,Sugarcane,800,21.77627959,2.105598112,1014.006315,20.87684851,peaty,1.501,1.501,1.501,48000,60
125838,Maharashtra,AKOLA,2004,Kharif     ,Arhar/Tur,52200,21.14611751,1.992018981,1015.486908,21.41922563,silt,2.65,0,0,27500,0.526819923
125842,Maharashtra,AKOLA,2004,Kharif     ,Moong(Green Gram),62000,20.59963174,2.034943194,1015.481297,21.13758723,loamy,4.068,10.396,0,13500,0.217741935
125847,Maharashtra,AKOLA,2004,Kharif     ,Urad,16100,20.87799534,2.025568603,1013.188584,21.72379991,chalky,0,5.184,0,3500,0.217391304
125848,Maharashtra,AKOLA,2004,Rabi       ,Gram,24000,20.27172155,1.987863054,1015.275091,21.39722147,sandy,2.08,5.408,5.408,9100,0.379166667
125853,Maharashtra,AKOLA,2004,Rabi       ,Soyabean,50300,22.06921797,2.054755297,1015.690642,21.69426131,chalky,1.6,2,0,31000,0.616302187
125855,Maharashtra,AKOLA,2004,Rabi       ,Wheat,3400,20.37786083,1.977050216,1015.461237,21.78982187,silty,2.484,2.484,0,3800,1.117647059
125858,Maharashtra,AKOLA,2004,Whole Year ,Cotton(lint),207600,21.11194631,2.053589352,1014.649281,20.25133617,clay,6.39,16.33,0,137800,0.663776493
125859,Maharashtra,AKOLA,2004,Whole Year ,Sugarcane,500,21.48399506,2.106953123,1013.981009,20.0622788,clay,50.673,0,0,19200,38.4
125860,Maharashtra,AKOLA,2005,Kharif     ,Arhar/Tur,56500,20.51966293,2.09665228,1014.05012,20.60458957,silt,8.54,8.54,0,41000,0.725663717
125863,Maharashtra,AKOLA,2005,Kharif     ,Cotton(lint),204400,21.0051818,2.026957063,1014.74537,20.62353377,peaty,0,25.136,0,141400,0.691780822
125865,Maharashtra,AKOLA,2005,Kharif     ,Moong(Green Gram),50100,21.1949179,2.015544603,1014.78437,21.28496574,peaty,16.008,42.688,21.344,7400,0.147704591
